Chemical,Monitor,Date,Reading
AGOC-3A,1,2016-04-01,0.21132347916666663
AGOC-3A,1,2016-04-02,0.22380294347826088
AGOC-3A,1,2016-04-03,0.21902459583333334
AGOC-3A,1,2016-04-04,0.25174441249999996
AGOC-3A,1,2016-04-05,0.2547322374999999
AGOC-3A,1,2016-04-06,0.23808804347826082
AGOC-3A,1,2016-04-07,0.21335983291666663
AGOC-3A,1,2016-04-08,0.27854672625
AGOC-3A,1,2016-04-09,0.24185532333333334
AGOC-3A,1,2016-04-10,0.2216119641666667
AGOC-3A,1,2016-04-11,0.20412011291666668
AGOC-3A,1,2016-04-12,0.23869992083333338
AGOC-3A,1,2016-04-13,0.22140982083333335
AGOC-3A,1,2016-04-14,0.20677313666666666
AGOC-3A,1,2016-04-15,0.2478235708333333
AGOC-3A,1,2016-04-16,0.23165275416666672
AGOC-3A,1,2016-04-17,0.18749723625
AGOC-3A,1,2016-04-18,0.2780004016666667
AGOC-3A,1,2016-04-19,0.21248418999999996
AGOC-3A,1,2016-04-20,0.20048760333333338
AGOC-3A,1,2016-04-21,0.23645384583333337
AGOC-3A,1,2016-04-22,0.25325881666666666
AGOC-3A,1,2016-04-23,0.2641862125
AGOC-3A,1,2016-04-24,0.26916285833333337
AGOC-3A,1,2016-04-25,0.24226944000000003
AGOC-3A,1,2016-04-26,0.2233627083333333
AGOC-3A,1,2016-04-27,0.26545551250000005
AGOC-3A,1,2016-04-28,0.17273218583333336
AGOC-3A,1,2016-04-29,0.22300746291666665
AGOC-3A,1,2016-04-30,0.27212429583333336
AGOC-3A,1,2016-08-01,0.25784973625
AGOC-3A,1,2016-08-02,0.7217878541666667
AGOC-3A,1,2016-08-03,0.2704210458333333
AGOC-3A,1,2016-08-04,0.2612355
AGOC-3A,1,2016-08-05,0.25055090416666664
AGOC-3A,1,2016-08-06,0.2645753520833334
AGOC-3A,1,2016-08-07,0.2612351195652174
AGOC-3A,1,2016-08-08,0.2210016358333334
AGOC-3A,1,2016-08-09,0.2648301175
